Name,Yc1314,Yc1415,Yc1516,Yc1617,Ass1516,Ass1617,Asr1314,Asr1415,Asr1516,Asr1617,Og1415,Og1516,Og1617,Og1314,Rc1314,Rc1415,Rc1516,Rc1617,Gf1314,Gf1415,Gf1516,Gf1617,Ge1314,Ge1415,Gr1314,Gr1415,Gr1516,Gr1617,Gv1314,Gv1415,Sf+1314,Sf+1415,Sf1314,Sf1415,Sf1516,Sf1617,Sa1314,Sa1415,Sa1516,Sa1617,Pg1314,Pg1415,Pg1516,Pg1617,P+1314,P+1415,P+1516,P+1617,P-1314,P-1415,P-1516,P-1617,R1314,R1415,R1516,R1617,Pk1516,Pk1617,Ps1314,Ps1415,Ps1516,Ps1617,Team1314,Team1415,Team1516,Team1617
SCUFFET,1,0,,0,,0,0,0,,0,0,,0,0,0,0,,0,0,0,,0,0,0,22,5,,11,0,0,4.94,3.25,4.94,3.25,,4.33,6.34,5.75,,6.17,16,2,,6,0,0,,0,0,0,,0,G,G,,G,,0,0,0,,0,UDINESE,UDINESE,,Udinese
SCULLI,5,,,,,,1,,,,,,,0,0,,,,0,,,,0,,0,,,,0,,5.65,,5.55,,,,5.8,,,,10,,,,0,,,,0,,,,M,,,,,,0,,,,GENOA,,,
SECK,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,D,,0,,,,0,,,,Roma
SECULIN,,,0,0,0,0,,,0,0,,0,0,,,,0,0,,,0,0,,,,,2,9,,,,,,,6,3.62,,,6.67,5.88,,,3,4,,,0,0,,,0,0,,,G,G,0,0,,,0,0,,,Chievo,Chievo
SELASI,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,M,,0,,,,0,,,,Pescara
SENSI,,,,4,,0,,,,0,,,0,,,,,0,,,,1,,,,,,0,,,,,,,,6.28,,,,6.22,,,,16,,,,0,,,,0,,,,M,,0,,,,0,,,,Sassuolo
SEPE,,0,,0,,0,,0,,0,1,,0,,,0,,0,,0,,0,,0,,35,,0,,0,,4.95,,4.95,,0,,6.15,,0,,31,,0,,0,,0,,0,,0,,G,,G,,0,,0,,0,,EMPOLI,,Napoli
SERRA,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,6,,,,6,,,,1,,,,0,,,,0,,,,F,,0,,,,0,,,,Cagliari
SESTU,3,,,,,,1,,,,,,,0,0,,,,0,,,,0,,0,,,,0,,5.58,,5.5,,,,5.63,,,,12,,,,0,,,,0,,,,M,,,,,,0,,,,SAMPDORIA,,,
SHAQIRI,,3,,,,,,1,,,0,,,,,0,,,,0,,,,0,,0,,,,0,,6.04,,5.96,,,,5.86,,,,14,,,,1,,,,0,,,,M,,,,,,0,,,,INTER,,
SIGNORELLI,,0,0,0,0,0,,0,0,0,0,0,0,,,0,0,0,,1,0,0,,0,,0,0,0,,0,,6.11,,6.11,5.5,0,,5.78,5.5,0,,9,1,0,,0,0,0,,0,0,0,,M,M,M,0,0,,0,0,0,,EMPOLI,Empoli,Empoli
SILIGARDI,1,,1,,0,,1,,0,,,0,,0,0,,0,,5,,2,,0,,0,,0,,0,,6.46,,6.41,,5.96,,5.78,,5.74,,23,,25,,0,,0,,0,,0,,F,,F,,0,,0,,0,,LIVORNO,,Verona,
SILVESTRE,2,7,7,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,6.38,5.84,6.38,5.81,5.4,5.99,5.88,5.93,5.54,5.99,4,29,25,36,0,0,0,0,0,0,0,0,D,D,D,D,0,0,0,0,0,0,MILAN,SAMPDORIA,Sampdoria,Sampdoria
SILVESTRI,0,,,,,,0,,,,,,,1,1,,,,0,,,,0,,5,,,,0,,3.67,,3.67,,,,6.33,,,,3,,,,0,,,,0,,,,G,,,,,,0,,,,CAGLIARI,,,
SILVESTRO,,,,0,,0,,,,0,,,0,,,,,0,,,,0,,,,,,0,,,,,,,,0,,,,0,,,,0,,,,0,,,,0,,,,M,,0,,,,0,,,,Bologna
